OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
2126,37,119,001702,1,371190017021,Block Group 1,0016188,"Block Group 1, Census Tract 17.02, Mecklenburg County, North Carolina",585,76,69,0,24,26,46,30,33,20,36,80,81,35,22,7,0,44129,233,55,0.2360515,18971042.6682739,19063.6997746171
2127,37,119,001923,2,371190019232,Block Group 2,0016230,"Block Group 2, Census Tract 19.23, Mecklenburg County, North Carolina",446,13,17,11,20,0,30,36,3,43,53,67,53,62,5,25,8,59423,350,123,0.35142857,8883252.72003174,20479.0456260778
2128,37,119,003201,1,371190032011,Block Group 1,0016321,"Block Group 1, Census Tract 32.01, Mecklenburg County, North Carolina",430,7,0,43,15,20,0,10,38,47,8,8,63,84,26,36,25,81397,262,62,0.23664122,7849706.29516602,12377.7302621502
2129,37,119,000300,1,371190003001,Block Group 1,0016136,"Block Group 1, Census Tract 3, Mecklenburg County, North Carolina",690,180,75,11,9,28,0,12,24,0,20,34,55,50,56,37,99,51875,96,2,0.02083333,8690985.82476807,15153.8053293672
2130,37,119,001000,1,371190010001,Block Group 1,0016149,"Block Group 1, Census Tract 10, Mecklenburg County, North Carolina",485,0,0,0,9,0,28,31,0,42,11,10,76,53,32,84,109,112813,317,0,0,5982933.80462646,10024.642911127
2131,37,119,002701,2,371190027012,Block Group 2,0016258,"Block Group 2, Census Tract 27.01, Mecklenburg County, North Carolina",539,51,8,10,29,7,27,12,22,31,25,67,24,7,32,39,148,71406,271,10,0.03690037,8635781.57348633,15710.214521393
2132,37,119,000600,2,371190006002,Block Group 2,0016143,"Block Group 2, Census Tract 6, Mecklenburg County, North Carolina",1096,99,53,34,47,68,76,86,82,63,69,85,120,67,28,88,31,45682,327,67,0.20489297,7619938.9208374,17053.7411859049
2133,37,119,005000,2,371190050002,Block Group 2,0016394,"Block Group 2, Census Tract 50, Mecklenburg County, North Carolina",309,0,37,14,26,10,33,0,6,13,7,23,52,17,15,19,37,68750,127,30,0.23622047,6120239.51403809,12074.7468775809
2134,37,119,006005,1,371190060051,Block Group 1,0016611,"Block Group 1, Census Tract 60.05, Mecklenburg County, North Carolina",1119,57,56,20,40,53,62,29,81,54,122,154,239,70,43,36,3,58964,727,46,0.06327373,186706180.223816,54906.5236409012
2135,37,119,003700,2,371190037002,Block Group 2,0016342,"Block Group 2, Census Tract 37, Mecklenburg County, North Carolina",884,300,79,65,37,62,44,0,54,0,23,89,77,7,6,28,13,19872,418,277,0.66267943,20765371.0864258,19803.2219913181
2136,37,119,003600,1,371190036001,Block Group 1,0016337,"Block Group 1, Census Tract 36, Mecklenburg County, North Carolina",540,20,8,0,0,40,10,21,8,22,25,65,82,64,19,92,64,91591,220,0,0,5002749.78210449,10854.3923486185
2137,37,119,005837,2,371190058372,Block Group 2,0016557,"Block Group 2, Census Tract 58.37, Mecklenburg County, North Carolina",685,0,0,31,0,45,19,17,35,33,43,33,131,76,33,94,95,92039,544,43,0.07904412,15888002.6216431,18597.6202429028
2138,37,119,005404,1,371190054041,Block Group 1,0016416,"Block Group 1, Census Tract 54.04, Mecklenburg County, North Carolina",1163,125,97,55,106,73,56,117,47,153,60,133,126,5,0,0,10,36687,659,115,0.17450683,33902862.6845093,29499.5229918813
2139,37,119,000100,1,371190001001,Block Group 1,0016131,"Block Group 1, Census Tract 1, Mecklenburg County, North Carolina",1032,66,0,17,0,53,0,32,12,19,37,80,132,145,134,179,126,109167,127,0,0,5336135.2600708,12595.5180649538
2140,37,119,001922,2,371190019222,Block Group 2,0016228,"Block Group 2, Census Tract 19.22, Mecklenburg County, North Carolina",958,49,29,24,38,132,57,64,34,45,132,132,116,31,55,20,0,50921,730,124,0.16986301,25476033.0829468,30831.3201680977
2141,37,119,001000,2,371190010002,Block Group 2,0016150,"Block Group 2, Census Tract 10, Mecklenburg County, North Carolina",272,29,0,14,0,0,10,18,0,8,0,16,10,61,13,21,72,115926,80,0,0,4170230.93395996,8698.57325805559
2142,37,119,005831,2,371190058312,Block Group 2,0016545,"Block Group 2, Census Tract 58.31, Mecklenburg County, North Carolina",921,52,11,22,16,72,16,13,33,47,153,151,144,61,29,50,51,63481,353,27,0.07648725,11151712.0609131,15171.9185929655
2143,37,119,002904,2,371190029042,Block Group 2,0016270,"Block Group 2, Census Tract 29.04, Mecklenburg County, North Carolina",517,0,0,42,0,0,13,0,0,0,0,150,17,142,48,26,79,105729,452,59,0.13053097,12950110.1721802,15649.2620858047
2144,37,119,005839,1,371190058391,Block Group 1,0016563,"Block Group 1, Census Tract 58.39, Mecklenburg County, North Carolina",1123,38,34,37,28,60,13,5,12,75,64,38,146,141,161,181,90,100449,624,15,0.02403846,28923884.869751,29924.77667145
2145,37,119,002800,3,371190028003,Block Group 3,0016265,"Block Group 3, Census Tract 28, Mecklenburg County, North Carolina",680,12,22,13,12,9,0,32,19,0,39,33,48,61,19,18,343,203036,477,0,0,10613331.3994751,14199.6594152402
2146,37,119,003400,4,371190034004,Block Group 4,0016334,"Block Group 4, Census Tract 34, Mecklenburg County, North Carolina",513,44,33,12,26,0,0,0,0,0,49,53,22,90,0,50,134,110393,204,17,0.08333333,7636640.93994141,15535.1256871423
2147,37,119,006208,1,371190062081,Block Group 1,0016647,"Block Group 1, Census Tract 62.08, Mecklenburg County, North Carolina",1373,32,34,16,19,10,16,75,67,21,136,218,223,179,108,86,133,77168,799,21,0.02628285,36294776.9770508,25051.862398958
2148,37,119,003802,2,371190038022,Block Group 2,0016344,"Block Group 2, Census Tract 38.02, Mecklenburg County, North Carolina",881,233,20,70,96,105,59,65,37,35,19,22,59,41,20,0,0,25881,481,217,0.45114345,27874966.7703857,30659.803721361
2149,37,119,005616,1,371190056161,Block Group 1,0016479,"Block Group 1, Census Tract 56.16, Mecklenburg County, North Carolina",546,22,19,29,25,17,39,33,58,26,58,63,96,38,12,7,4,50391,374,54,0.14438503,83116264.0613403,42045.1727429206
2150,37,119,006209,2,371190062092,Block Group 2,0016649,"Block Group 2, Census Tract 62.09, Mecklenburg County, North Carolina",1050,37,11,39,9,18,32,54,0,41,131,124,140,142,110,86,76,81098,409,14,0.03422983,6579187.25170898,12768.6004713873
2151,37,119,003102,2,371190031022,Block Group 2,0016308,"Block Group 2, Census Tract 31.02, Mecklenburg County, North Carolina",463,14,0,10,0,43,0,17,14,0,64,58,58,115,16,44,10,76797,377,0,0,8633780.07373047,14018.4493869156
2152,37,119,001701,2,371190017012,Block Group 2,0016187,"Block Group 2, Census Tract 17.01, Mecklenburg County, North Carolina",1005,111,83,111,78,121,55,61,103,85,30,63,78,0,17,9,0,29926,537,280,0.52141527,4314205.55853271,9663.37648762074
2153,37,119,003903,2,371190039032,Block Group 2,0016360,"Block Group 2, Census Tract 39.03, Mecklenburg County, North Carolina",418,49,79,24,21,62,27,40,31,21,34,15,0,0,0,0,15,28375,204,92,0.45098039,28513762.118042,30383.9033216167
2154,37,119,002003,1,371190020031,Block Group 1,0016235,"Block Group 1, Census Tract 20.03, Mecklenburg County, North Carolina",588,0,28,31,12,0,0,12,29,24,64,26,0,70,55,111,126,114904,337,28,0.08308605,14304001.0789185,21519.8769647832
2155,37,119,002003,2,371190020032,Block Group 2,0016236,"Block Group 2, Census Tract 20.03, Mecklenburg County, North Carolina",348,48,0,0,12,0,13,12,12,0,0,24,51,34,41,66,35,107955,213,10,0.04694836,10161599.5529175,17173.3669583781
2156,37,119,004100,4,371190041004,Block Group 4,0016368,"Block Group 4, Census Tract 41, Mecklenburg County, North Carolina",257,58,32,31,42,16,26,0,18,8,0,4,0,9,0,0,13,20446,152,71,0.46710526,7531339.31445312,12671.9752826072
2157,37,119,003204,1,371190032041,Block Group 1,0016325,"Block Group 1, Census Tract 32.04, Mecklenburg County, North Carolina",535,10,0,10,9,0,8,0,17,16,34,36,79,99,87,54,76,107375,174,0,0,6504689.12322998,12432.5194087463
2158,37,119,005403,1,371190054031,Block Group 1,0016414,"Block Group 1, Census Tract 54.03, Mecklenburg County, North Carolina",1054,69,76,107,40,91,30,101,59,82,103,55,116,56,49,7,13,40551,621,105,0.16908213,41798885.1817627,35905.2275800157
2159,37,119,004100,3,371190041003,Block Group 3,0016367,"Block Group 3, Census Tract 41, Mecklenburg County, North Carolina",239,28,0,22,0,0,14,8,0,20,15,8,65,16,25,8,10,78750,57,27,0.47368421,14049649.6582642,16298.6836118435
2160,37,119,005846,2,371190058462,Block Group 2,0016578,"Block Group 2, Census Tract 58.46, Mecklenburg County, North Carolina",744,7,0,0,17,21,7,0,0,0,30,22,38,54,46,135,367,198214,673,19,0.0282318,27428043.6538086,25848.887577336
2161,37,119,005604,2,371190056042,Block Group 2,0016463,"Block Group 2, Census Tract 56.04, Mecklenburg County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9425896.21490479,12416.3447788959
2162,37,119,005521,3,371190055213,Block Group 3,0016449,"Block Group 3, Census Tract 55.21, Mecklenburg County, North Carolina",1867,90,29,42,0,73,111,83,87,231,206,162,324,127,172,81,49,58844,1024,100,0.09765625,66306549.9271851,32627.4215131443
2163,37,119,001100,2,371190011002,Block Group 2,0016153,"Block Group 2, Census Tract 11, Mecklenburg County, North Carolina",684,18,6,36,4,21,15,6,31,9,10,66,94,85,64,50,169,106563,361,42,0.11634349,10187298.3414307,13482.8965565238
2164,37,119,001914,1,371190019141,Block Group 1,0016207,"Block Group 1, Census Tract 19.14, Mecklenburg County, North Carolina",599,89,46,53,81,69,21,22,36,6,89,7,37,43,0,0,0,26466,420,203,0.48333333,21957347.4474487,25961.6463950815
2165,37,119,005841,2,371190058412,Block Group 2,0016566,"Block Group 2, Census Tract 58.41, Mecklenburg County, North Carolina",398,0,0,21,0,18,0,0,64,0,30,74,74,28,23,19,47,69630,314,43,0.13694268,3574727.45446777,11485.6262987311
2166,37,119,005823,3,371190058233,Block Group 3,0016529,"Block Group 3, Census Tract 58.23, Mecklenburg County, North Carolina",780,80,0,0,0,24,9,16,76,29,33,28,147,57,97,60,124,91061,450,72,0.16,17691299.5135498,18656.3532873465
2167,37,119,006106,1,371190061061,Block Group 1,0016633,"Block Group 1, Census Tract 61.06, Mecklenburg County, North Carolina",1038,23,24,0,7,16,76,114,33,123,124,88,96,130,73,101,10,59403,668,0,0,18487593.6675415,19233.8824249296
2168,37,119,005305,2,371190053052,Block Group 2,0016403,"Block Group 2, Census Tract 53.05, Mecklenburg County, North Carolina",596,41,66,44,49,95,48,10,43,33,43,27,56,16,15,10,0,30214,381,88,0.23097113,7936387.74511719,13506.5172797431
2169,37,119,003006,2,371190030062,Block Group 2,0016280,"Block Group 2, Census Tract 30.06, Mecklenburg County, North Carolina",1286,18,73,53,38,66,20,51,29,41,117,167,171,186,60,39,157,69630,671,32,0.04769001,15341029.80896,22363.6508742384
2170,37,119,002904,5,371190029045,Block Group 5,0016273,"Block Group 5, Census Tract 29.04, Mecklenburg County, North Carolina",573,38,35,0,23,0,18,31,45,18,19,71,17,46,129,26,57,74468,317,0,0,14257479.0065918,18680.7038460684
2171,37,119,003108,2,371190031082,Block Group 2,0016318,"Block Group 2, Census Tract 31.08, Mecklenburg County, North Carolina",767,40,7,45,81,58,25,15,35,14,27,90,123,115,35,28,29,63646,489,68,0.1390593,12572436.8253174,14729.2317950117
2172,37,119,005826,1,371190058261,Block Group 1,0016534,"Block Group 1, Census Tract 58.26, Mecklenburg County, North Carolina",233,9,8,18,0,7,15,0,0,20,21,49,31,47,0,0,8,66691,153,9,0.05882353,20144837.769104,18271.2640153265
2173,37,119,005824,1,371190058241,Block Group 1,0016531,"Block Group 1, Census Tract 58.24, Mecklenburg County, North Carolina",1268,12,72,72,48,110,41,95,51,6,65,159,226,104,47,40,120,62880,923,143,0.15492958,159959570.35553,63849.382309686
2174,37,119,006107,1,371190061071,Block Group 1,0016635,"Block Group 1, Census Tract 61.07, Mecklenburg County, North Carolina",1294,94,0,19,29,24,86,99,90,47,45,270,97,124,110,82,78,64151,740,69,0.09324324,36750373.9552612,30516.523754475
2175,37,119,006213,1,371190062131,Block Group 1,0016657,"Block Group 1, Census Tract 62.13, Mecklenburg County, North Carolina",1276,89,21,0,37,18,26,17,32,13,113,106,171,93,161,90,289,99107,979,20,0.02042901,371863822.04071,115406.329302637
2176,37,119,005712,1,371190057121,Block Group 1,0016503,"Block Group 1, Census Tract 57.12, Mecklenburg County, North Carolina",915,0,0,19,50,10,41,54,67,22,97,129,123,95,62,91,55,71250,762,15,0.01968504,39625054.9264526,30062.0197364019
2177,37,119,005709,2,371190057092,Block Group 2,0016497,"Block Group 2, Census Tract 57.09, Mecklenburg County, North Carolina",798,10,0,72,31,8,44,27,63,54,32,62,128,66,79,50,72,73889,537,37,0.0689013,21959447.2184448,22937.7714299319
2178,37,119,004303,1,371190043031,Block Group 1,0016376,"Block Group 1, Census Tract 43.03, Mecklenburg County, North Carolina",1042,50,13,29,47,118,89,42,93,76,118,154,78,57,65,13,0,46923,671,100,0.1490313,45952486.7979126,37691.7310172356
2179,37,119,001918,1,371190019181,Block Group 1,0016217,"Block Group 1, Census Tract 19.18, Mecklenburg County, North Carolina",222,0,0,0,24,0,0,22,13,18,62,7,38,38,0,0,0,51635,134,18,0.13432836,6493990.65911865,11691.5582155558
2180,37,119,001400,2,371190014002,Block Group 2,0016161,"Block Group 2, Census Tract 14, Mecklenburg County, North Carolina",760,31,23,12,18,38,33,15,18,20,109,41,80,64,70,87,101,78375,273,22,0.08058608,11310060.8994751,17806.01014496
2181,37,119,002500,2,371190025002,Block Group 2,0016255,"Block Group 2, Census Tract 25, Mecklenburg County, North Carolina",370,16,10,5,0,24,14,4,5,11,59,62,69,30,0,31,30,68542,78,5,0.06410256,10587047.2651978,13404.6590083176
2182,37,119,006203,3,371190062033,Block Group 3,0016642,"Block Group 3, Census Tract 62.03, Mecklenburg County, North Carolina",794,65,0,0,0,29,9,0,14,16,0,77,90,54,48,150,242,149167,452,0,0,64418036.0263672,42435.136192946
2183,37,119,005523,3,371190055233,Block Group 3,0016455,"Block Group 3, Census Tract 55.23, Mecklenburg County, North Carolina",980,126,10,86,54,0,13,0,51,71,113,137,240,54,20,5,0,58333,540,38,0.07037037,15749260.8823853,17166.6989599283
2184,37,119,005512,3,371190055123,Block Group 3,0016430,"Block Group 3, Census Tract 55.12, Mecklenburg County, North Carolina",1147,21,62,123,22,35,40,97,85,36,91,247,108,141,19,20,0,56023,792,87,0.10984848,18970804.5756836,21298.4392217226
2185,37,119,005811,1,371190058111,Block Group 1,0016516,"Block Group 1, Census Tract 58.11, Mecklenburg County, North Carolina",1206,48,25,52,39,17,33,51,33,151,114,131,211,88,124,50,39,65814,559,17,0.03041145,25889989.2583618,22394.4212350873
2186,37,119,001914,2,371190019142,Block Group 2,0016208,"Block Group 2, Census Tract 19.14, Mecklenburg County, North Carolina",641,75,7,35,0,0,18,55,22,31,46,60,139,49,64,6,34,65917,430,65,0.15116279,17282979.8256226,19813.7659883349
2187,37,119,001504,3,371190015043,Block Group 3,0016164,"Block Group 3, Census Tract 15.04, Mecklenburg County, North Carolina",637,74,103,0,59,27,122,0,42,52,133,11,14,0,0,0,0,31901,279,126,0.4516129,10014735.555481,16026.5900255731
2188,37,119,005916,2,371190059162,Block Group 2,0016607,"Block Group 2, Census Tract 59.16, Mecklenburg County, North Carolina",360,15,66,49,26,18,34,23,24,19,39,18,15,6,0,8,0,30750,253,93,0.36758893,28598023.4118042,23287.2299600309
2189,37,119,005621,3,371190056213,Block Group 3,0016491,"Block Group 3, Census Tract 56.21, Mecklenburg County, North Carolina",624,50,12,22,19,13,22,0,67,40,88,64,56,92,14,28,37,55859,347,58,0.16714697,57424318.2294922,31574.6223572663
2190,37,119,006107,2,371190061072,Block Group 2,0016636,"Block Group 2, Census Tract 61.07, Mecklenburg County, North Carolina",1356,35,19,9,51,52,179,163,36,12,158,103,202,160,89,29,59,58846,438,16,0.03652968,22174641.4936523,18151.1281863953
2191,37,119,001919,2,371190019192,Block Group 2,0016221,"Block Group 2, Census Tract 19.19, Mecklenburg County, North Carolina",418,0,0,0,17,38,48,7,53,0,32,72,99,9,15,28,0,64375,304,37,0.12171053,9688183.0916748,19067.1016233408
2192,37,119,006404,1,371190064041,Block Group 1,0016674,"Block Group 1, Census Tract 64.04, Mecklenburg County, North Carolina",785,10,0,0,21,6,0,0,0,0,37,49,102,94,76,83,307,149519,705,0,0,121471572.00647,51184.1721357402
2193,37,119,001100,1,371190011001,Block Group 1,0016152,"Block Group 1, Census Tract 11, Mecklenburg County, North Carolina",541,12,6,14,5,31,15,29,28,21,13,41,78,108,15,70,55,86583,149,0,0,10474327.5304565,16255.4065660754
2194,37,119,005523,2,371190055232,Block Group 2,0016454,"Block Group 2, Census Tract 55.23, Mecklenburg County, North Carolina",1278,142,107,43,139,45,38,165,95,13,89,89,24,24,79,186,0,37404,508,43,0.08464567,16349286.5479126,17803.670699348
2195,37,119,006010,4,371190060104,Block Group 4,0016625,"Block Group 4, Census Tract 60.10, Mecklenburg County, North Carolina",449,30,46,38,35,56,0,29,0,23,0,29,0,92,71,0,0,39181,209,95,0.45454545,29046398.9492188,27653.6948297436
2196,37,119,980300,1,371199803001,Block Group 1,0016685,"Block Group 1, Census Tract 9803, Mecklenburg County, North Carolina",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,5198921.41809082,9479.12148201509
2197,37,119,005817,1,371190058171,Block Group 1,0016525,"Block Group 1, Census Tract 58.17, Mecklenburg County, North Carolina",553,0,0,48,0,10,10,8,20,29,44,37,94,67,70,49,67,98164,446,0,0,18475718.0162964,20376.6015167894
2198,37,119,002004,2,371190020042,Block Group 2,0016241,"Block Group 2, Census Tract 20.04, Mecklenburg County, North Carolina",527,0,12,0,11,33,0,0,11,0,41,46,78,67,3,63,162,114635,431,0,0,15202858.1209717,16741.7772369563
2199,37,119,003102,3,371190031023,Block Group 3,0016309,"Block Group 3, Census Tract 31.02, Mecklenburg County, North Carolina",807,42,67,65,79,229,16,84,35,41,72,34,29,0,14,0,0,27516,386,89,0.23056995,6612752.67474365,12599.6243629184
2200,37,119,005828,1,371190058281,Block Group 1,0016537,"Block Group 1, Census Tract 58.28, Mecklenburg County, North Carolina",898,31,15,31,8,6,8,0,0,38,67,112,140,70,60,131,181,99167,676,21,0.03106509,21129246.7367554,29150.9692147898
2201,37,119,005906,2,371190059062,Block Group 2,0016586,"Block Group 2, Census Tract 59.06, Mecklenburg County, North Carolina",255,0,55,24,55,7,10,18,28,10,23,7,8,10,0,0,0,24705,207,46,0.22222222,71773220.171875,40314.6777844715
2202,37,119,001801,1,371190018011,Block Group 1,0016192,"Block Group 1, Census Tract 18.01, Mecklenburg County, North Carolina",186,6,11,4,8,10,47,13,15,2,39,10,15,0,6,0,0,37500,55,0,0,7916016.4364624,13458.1959397302
2203,37,119,005620,3,371190056203,Block Group 3,0016488,"Block Group 3, Census Tract 56.20, Mecklenburg County, North Carolina",903,0,49,0,0,160,46,78,92,57,15,125,66,74,29,112,0,46893,811,53,0.06535142,26109130.1199951,23424.6126189433
2204,37,119,006008,2,371190060082,Block Group 2,0016619,"Block Group 2, Census Tract 60.08, Mecklenburg County, North Carolina",858,13,44,31,18,23,24,7,42,20,30,242,118,156,19,40,31,69886,577,21,0.03639515,24098662.6040039,22789.7329124317
2205,37,119,003007,5,371190030075,Block Group 5,0016285,"Block Group 5, Census Tract 30.07, Mecklenburg County, North Carolina",254,0,0,0,0,0,0,0,0,0,0,0,15,35,0,51,153,250000,232,21,0.09051724,20000322.9036865,23295.9012003431
2206,37,119,003016,3,371190030163,Block Group 3,0016303,"Block Group 3, Census Tract 30.16, Mecklenburg County, North Carolina",561,0,8,9,10,0,49,25,0,11,10,11,160,20,84,67,97,97768,342,7,0.02046784,5943981.93060303,11886.3866605327
2207,37,119,001912,1,371190019121,Block Group 1,0016203,"Block Group 1, Census Tract 19.12, Mecklenburg County, North Carolina",1004,137,45,0,74,134,28,73,112,30,82,168,17,27,39,38,0,40404,635,136,0.21417323,11657315.5571899,21757.1046592404
2208,37,119,001918,2,371190019182,Block Group 2,0016218,"Block Group 2, Census Tract 19.18, Mecklenburg County, North Carolina",928,53,77,28,112,24,62,100,63,81,163,53,40,72,0,0,0,41053,579,84,0.14507772,9017015.5479126,11898.1989830221
2209,37,119,006215,2,371190062152,Block Group 2,0016662,"Block Group 2, Census Tract 62.15, Mecklenburg County, North Carolina",953,33,18,14,0,27,50,54,39,59,94,60,166,166,79,79,15,82651,644,29,0.04503106,125577857.913635,50591.7720434948
2210,37,119,005845,2,371190058452,Block Group 2,0016576,"Block Group 2, Census Tract 58.45, Mecklenburg County, North Carolina",1033,24,9,10,22,0,74,27,26,0,0,35,128,145,114,212,207,126793,851,0,0,41099477.9197998,33032.0956791936
2211,37,119,005100,2,371190051002,Block Group 2,0016396,"Block Group 2, Census Tract 51, Mecklenburg County, North Carolina",682,106,133,67,99,15,55,48,20,43,43,30,23,0,0,0,0,21017,246,99,0.40243902,10969293.9293213,15546.5614296823
2212,37,119,003902,4,371190039024,Block Group 4,0016358,"Block Group 4, Census Tract 39.02, Mecklenburg County, North Carolina",490,98,61,0,89,36,53,0,0,22,78,33,0,7,13,0,0,24464,315,77,0.24444444,21357824.2020264,20935.7735386996
2213,37,119,005823,2,371190058232,Block Group 2,0016528,"Block Group 2, Census Tract 58.23, Mecklenburg County, North Carolina",547,0,17,0,0,14,63,16,33,15,0,34,23,148,0,106,78,109301,440,0,0,31662949.8204956,25015.0496059673
2214,37,119,005917,2,371190059172,Block Group 2,0016609,"Block Group 2, Census Tract 59.17, Mecklenburg County, North Carolina",936,46,14,15,0,21,0,0,37,52,192,104,217,76,90,34,38,72361,710,52,0.07323944,27647893.3178101,23293.0600801837
2215,37,119,004500,3,371190045003,Block Group 3,0016385,"Block Group 3, Census Tract 45, Mecklenburg County, North Carolina",299,54,17,37,18,0,26,33,13,17,0,19,35,14,0,3,13,32260,155,77,0.49677419,6800117.93334961,11087.0573856778
2216,37,119,001801,2,371190018012,Block Group 2,0016193,"Block Group 2, Census Tract 18.01, Mecklenburg County, North Carolina",165,23,8,12,17,0,5,7,0,0,28,13,21,11,17,3,0,53693,80,0,0,7258220.10968018,16132.9037147898
2217,37,119,005403,2,371190054032,Block Group 2,0016415,"Block Group 2, Census Tract 54.03, Mecklenburg County, North Carolina",656,49,69,65,19,16,63,43,24,59,70,61,75,31,0,12,0,40417,397,90,0.22670025,24549194.3629761,23960.7300769509
2218,37,119,005817,2,371190058172,Block Group 2,0016526,"Block Group 2, Census Tract 58.17, Mecklenburg County, North Carolina",1067,7,18,22,17,0,8,38,9,64,33,135,109,110,100,174,223,114514,858,17,0.01981352,29435640.7749634,23981.4665625424
2219,37,119,005306,1,371190053061,Block Group 1,0016405,"Block Group 1, Census Tract 53.06, Mecklenburg County, North Carolina",197,32,10,27,22,5,19,12,6,5,12,22,15,10,0,0,0,31250,146,16,0.10958904,7114165.3046875,16261.887420048
2220,37,119,001923,1,371190019231,Block Group 1,0016229,"Block Group 1, Census Tract 19.23, Mecklenburg County, North Carolina",981,6,23,47,82,53,114,24,96,111,126,46,160,56,12,6,19,46673,663,101,0.15233786,15381640.4330444,20967.114434382
