OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
2056,37,119,005511,2,371190055112,Block Group 2,0016426,"Block Group 2, Census Tract 55.11, Mecklenburg County, North Carolina",746,7,51,0,29,8,23,75,58,57,97,102,98,113,0,28,0,58049,338,46,0.13609467,7545010.4621582,11892.9646441778
2057,37,119,005521,2,371190055212,Block Group 2,0016448,"Block Group 2, Census Tract 55.21, Mecklenburg County, North Carolina",1077,43,17,33,13,0,268,108,22,97,117,59,121,166,0,13,0,45889,357,24,0.06722689,30069292.7694702,23800.5100393606
2058,37,119,003103,2,371190031032,Block Group 2,0016311,"Block Group 2, Census Tract 31.03, Mecklenburg County, North Carolina",1070,19,0,10,80,33,53,31,10,0,50,58,124,173,171,114,144,113047,646,35,0.05417957,22297944.5321045,23464.8272579721
2059,37,119,005838,1,371190058381,Block Group 1,0016560,"Block Group 1, Census Tract 58.38, Mecklenburg County, North Carolina",788,0,15,15,0,18,38,0,0,17,23,51,88,103,162,66,192,126032,588,16,0.02721088,10657603.7719116,12923.6901190821
2060,37,119,006010,2,371190060102,Block Group 2,0016623,"Block Group 2, Census Tract 60.10, Mecklenburg County, North Carolina",607,26,53,0,12,71,59,0,86,7,67,57,91,34,44,0,0,44810,455,94,0.20659341,27230707.5595703,21250.6747262981
2061,37,119,002004,1,371190020041,Block Group 1,0016240,"Block Group 1, Census Tract 20.04, Mecklenburg County, North Carolina",612,29,25,0,0,14,0,54,0,11,27,41,60,133,58,60,100,111830,516,22,0.04263566,22173277.5142822,20217.9272266388
2062,37,119,005510,1,371190055101,Block Group 1,0016423,"Block Group 1, Census Tract 55.10, Mecklenburg County, North Carolina",691,52,0,44,65,66,79,78,0,52,73,81,76,11,0,14,0,36266,464,101,0.21767241,40136629.5762939,27127.4279701737
2063,37,119,003808,2,371190038082,Block Group 2,0016354,"Block Group 2, Census Tract 38.08, Mecklenburg County, North Carolina",1155,42,101,76,68,50,39,86,74,74,119,197,154,7,29,0,39,47862,756,199,0.26322751,16044865.4284058,18318.6666597007
2064,37,119,000500,3,371190005003,Block Group 3,0016141,"Block Group 3, Census Tract 5, Mecklenburg County, North Carolina",825,32,29,14,23,27,0,18,0,0,79,50,111,114,67,99,162,111366,292,16,0.05479452,9806734.04003906,12869.5786271531
2065,37,119,005509,1,371190055091,Block Group 1,0016420,"Block Group 1, Census Tract 55.09, Mecklenburg County, North Carolina",736,3,0,0,21,0,0,9,59,8,55,65,192,144,89,53,38,90425,522,10,0.01915709,40450607.2214966,26589.8575966141
2066,37,119,980200,1,371199802001,Block Group 1,0016684,"Block Group 1, Census Tract 9802, Mecklenburg County, North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121839869.358582,57450.7270232981
2067,37,119,005513,3,371190055133,Block Group 3,0016433,"Block Group 3, Census Tract 55.13, Mecklenburg County, North Carolina",358,12,18,15,0,11,0,0,0,21,24,58,61,27,36,53,22,80978,236,17,0.0720339,10750020.4960327,14437.9375729633
2068,37,119,003106,1,371190031061,Block Group 1,0016315,"Block Group 1, Census Tract 31.06, Mecklenburg County, North Carolina",942,25,37,33,7,24,121,22,115,22,96,56,207,67,51,50,9,57500,577,110,0.19064125,14413365.2165527,18900.7615952691
2069,37,119,003700,1,371190037001,Block Group 1,0016341,"Block Group 1, Census Tract 37, Mecklenburg County, North Carolina",1034,71,135,34,46,46,28,46,54,59,89,52,113,53,76,25,107,49808,206,25,0.12135922,6659656.63726807,10972.5600432188
2070,37,119,004600,2,371190046002,Block Group 2,0016387,"Block Group 2, Census Tract 46, Mecklenburg County, North Carolina",617,69,81,114,26,17,110,8,82,0,32,17,36,25,0,0,0,30057,361,170,0.47091413,12000521.5599365,14865.7571119625
2071,37,119,005522,3,371190055223,Block Group 3,0016452,"Block Group 3, Census Tract 55.22, Mecklenburg County, North Carolina",666,36,0,26,31,0,29,55,0,0,98,78,188,52,12,39,22,71218,212,27,0.12735849,5301314.92492676,10710.5732968217
2072,37,119,001911,1,371190019111,Block Group 1,0016200,"Block Group 1, Census Tract 19.11, Mecklenburg County, North Carolina",542,44,23,0,9,9,54,58,31,11,36,97,84,49,20,8,9,59167,330,31,0.09393939,10350567.0276489,15298.3685754968
2073,37,119,005842,1,371190058421,Block Group 1,0016568,"Block Group 1, Census Tract 58.42, Mecklenburg County, North Carolina",821,48,0,0,34,86,31,16,78,56,59,78,260,56,12,7,0,60329,425,14,0.03294118,8629037.61303711,12766.9259800013
2074,37,119,005829,2,371190058292,Block Group 2,0016541,"Block Group 2, Census Tract 58.29, Mecklenburg County, North Carolina",546,12,9,40,48,18,64,36,68,29,67,57,59,33,6,0,0,43804,251,0,0,11007101.9871216,13881.8355375394
2075,37,119,005512,1,371190055121,Block Group 1,0016428,"Block Group 1, Census Tract 55.12, Mecklenburg County, North Carolina",290,45,56,21,0,10,39,16,17,24,9,0,41,0,12,0,0,31250,171,31,0.18128655,13349155.8727417,17525.6364017025
2076,37,119,001915,3,371190019153,Block Group 3,0016211,"Block Group 3, Census Tract 19.15, Mecklenburg County, North Carolina",489,20,34,10,39,22,30,22,20,97,89,72,34,0,0,0,0,46772,305,60,0.19672131,3928426.90447998,8496.96244300368
2077,37,119,005524,4,371190055244,Block Group 4,0016459,"Block Group 4, Census Tract 55.24, Mecklenburg County, North Carolina",577,60,0,37,12,14,0,0,0,34,151,32,135,21,0,44,37,58125,409,0,0,20580941.9711304,27237.7029885938
2078,37,119,001608,1,371190016081,Block Group 1,0016182,"Block Group 1, Census Tract 16.08, Mecklenburg County, North Carolina",918,124,52,61,87,95,80,89,37,73,85,49,81,0,0,5,0,32826,482,125,0.2593361,11730277.6233521,16211.8555050537
2079,37,119,006006,1,371190060061,Block Group 1,0016612,"Block Group 1, Census Tract 60.06, Mecklenburg County, North Carolina",1028,11,29,107,97,67,46,33,98,90,30,127,107,85,28,73,0,45783,768,39,0.05078125,27128672.7304077,26685.5507578177
2080,37,119,003017,2,371190030172,Block Group 2,0016305,"Block Group 2, Census Tract 30.17, Mecklenburg County, North Carolina",956,39,10,9,42,10,22,48,0,52,76,40,78,53,115,117,245,124868,722,19,0.02631579,28064673.0050049,23603.6324834115
2081,37,119,005614,1,371190056141,Block Group 1,0016475,"Block Group 1, Census Tract 56.14, Mecklenburg County, North Carolina",899,49,0,0,0,8,47,0,48,0,156,136,233,104,68,18,32,78029,560,15,0.02678571,26449002.6956177,24927.4565203994
2082,37,119,005619,1,371190056191,Block Group 1,0016484,"Block Group 1, Census Tract 56.19, Mecklenburg County, North Carolina",853,62,19,0,26,24,34,26,44,47,106,141,149,128,26,16,5,65078,580,16,0.02758621,31148984.3805542,34926.4362251786
