OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2670,37,119,005714,3,371190057143,Block Group 3,0016509,"Block Group 3, Census Tract 57.14, Mecklenburg County, North Carolina",456,378,92,32,0,0,124,0.27192982,69509550.904541,42195.7626884124
2671,37,119,003600,1,371190036001,Block Group 1,0016337,"Block Group 1, Census Tract 36, Mecklenburg County, North Carolina",762,625,0,62,48,27,137,0.17979003,5002749.78210449,10854.3923486185
2672,37,119,003013,1,371190030131,Block Group 1,0016296,"Block Group 1, Census Tract 30.13, Mecklenburg County, North Carolina",1211,944,534,0,0,0,534,0.44095789,37092920.7591553,36604.3541276396
2673,37,119,005833,2,371190058332,Block Group 2,0016549,"Block Group 2, Census Tract 58.33, Mecklenburg County, North Carolina",1248,1138,180,20,0,0,200,0.16025641,28978377.7732544,27625.4937043615
2674,37,119,003903,2,371190039032,Block Group 2,0016360,"Block Group 2, Census Tract 39.03, Mecklenburg County, North Carolina",412,326,24,70,4,0,98,0.23786408,28513762.118042,30383.9033216167
2675,37,119,005713,1,371190057131,Block Group 1,0016505,"Block Group 1, Census Tract 57.13, Mecklenburg County, North Carolina",1161,1065,92,0,9,41,142,0.12230835,79370398.1627197,38077.8087994077
2676,37,119,005616,1,371190056161,Block Group 1,0016479,"Block Group 1, Census Tract 56.16, Mecklenburg County, North Carolina",770,672,186,5,0,0,191,0.24805195,83116264.0613403,42045.1727429206
2677,37,119,000800,1,371190008001,Block Group 1,0016145,"Block Group 1, Census Tract 8, Mecklenburg County, North Carolina",1026,624,394,195,0,10,599,0.58382066,10591917.838562,13540.9487988894
2678,37,119,006210,1,371190062101,Block Group 1,0016651,"Block Group 1, Census Tract 62.10, Mecklenburg County, North Carolina",1331,1188,126,0,0,80,206,0.15477085,56711413.4642944,37739.9056926463
2679,37,119,006109,1,371190061091,Block Group 1,0016639,"Block Group 1, Census Tract 61.09, Mecklenburg County, North Carolina",1167,1060,150,0,0,32,182,0.15595544,61570073.49823,32146.339093502
2680,37,119,005842,2,371190058422,Block Group 2,0016569,"Block Group 2, Census Tract 58.42, Mecklenburg County, North Carolina",795,658,172,22,29,0,223,0.28050314,8834865.67608643,11849.6032521504
2681,37,119,005847,2,371190058472,Block Group 2,0016580,"Block Group 2, Census Tract 58.47, Mecklenburg County, North Carolina",1000,920,104,19,0,9,132,0.132,26063979.0039062,20807.7755810609
2682,37,119,002701,1,371190027011,Block Group 1,0016257,"Block Group 1, Census Tract 27.01, Mecklenburg County, North Carolina",284,274,0,0,0,10,10,0.03521127,4443510.84973145,9839.65396811238
2683,37,119,005843,2,371190058432,Block Group 2,0016572,"Block Group 2, Census Tract 58.43, Mecklenburg County, North Carolina",888,809,38,12,48,0,98,0.11036036,11020846.368103,15220.6800847374
2684,37,119,005509,2,371190055092,Block Group 2,0016421,"Block Group 2, Census Tract 55.09, Mecklenburg County, North Carolina",793,790,6,0,0,0,6,0.0075662,14175783.2723999,16825.0260241381
2685,37,119,005911,2,371190059112,Block Group 2,0016596,"Block Group 2, Census Tract 59.11, Mecklenburg County, North Carolina",1525,1371,238,11,0,24,273,0.17901639,56935150.1323242,39421.7698199541
2686,37,119,000100,1,371190001001,Block Group 1,0016131,"Block Group 1, Census Tract 1, Mecklenburg County, North Carolina",1023,463,50,0,535,0,585,0.57184751,5336135.2600708,12595.5180649538
2687,37,119,005401,2,371190054012,Block Group 2,0016412,"Block Group 2, Census Tract 54.01, Mecklenburg County, North Carolina",887,852,66,1,1,0,68,0.07666291,53457346.7652588,37422.0303526992
2688,37,119,003103,2,371190031032,Block Group 2,0016311,"Block Group 2, Census Tract 31.03, Mecklenburg County, North Carolina",1501,1364,242,16,0,0,258,0.17188541,22297944.5321045,23464.8272579721
2689,37,119,005842,1,371190058421,Block Group 1,0016568,"Block Group 1, Census Tract 58.42, Mecklenburg County, North Carolina",681,630,102,0,0,0,102,0.14977974,8629037.61303711,12766.9259800013
2690,37,119,006104,4,371190061044,Block Group 4,0016631,"Block Group 4, Census Tract 61.04, Mecklenburg County, North Carolina",1083,1003,156,0,2,0,158,0.14589104,52790500.836853,32308.5127243624
2691,37,119,000300,1,371190003001,Block Group 1,0016136,"Block Group 1, Census Tract 3, Mecklenburg County, North Carolina",461,388,0,13,47,13,73,0.15835141,8690985.82476807,15153.8053293672
2692,37,119,005614,2,371190056142,Block Group 2,0016476,"Block Group 2, Census Tract 56.14, Mecklenburg County, North Carolina",1673,1561,70,0,0,77,147,0.08786611,28413815.057373,27011.7317722066
2693,37,119,004100,3,371190041003,Block Group 3,0016367,"Block Group 3, Census Tract 41, Mecklenburg County, North Carolina",329,236,106,16,24,0,146,0.443769,14049649.6582642,16298.6836118435
2694,37,119,001504,3,371190015043,Block Group 3,0016164,"Block Group 3, Census Tract 15.04, Mecklenburg County, North Carolina",632,401,402,30,0,0,432,0.6835443,10014735.555481,16026.5900255731
2695,37,119,001923,1,371190019231,Block Group 1,0016229,"Block Group 1, Census Tract 19.23, Mecklenburg County, North Carolina",1573,1422,220,29,6,6,261,0.16592498,15381640.4330444,20967.114434382
2696,37,119,000700,1,371190007001,Block Group 1,0016144,"Block Group 1, Census Tract 7, Mecklenburg County, North Carolina",605,566,18,15,4,11,48,0.07933884,13685137.0819092,23242.2706545677
2697,37,119,005513,1,371190055131,Block Group 1,0016431,"Block Group 1, Census Tract 55.13, Mecklenburg County, North Carolina",836,748,176,0,0,0,176,0.21052632,13059491.2457275,17253.2501733085
